keys,zh_CN,en
menu.main.title,"时序录","TimeChain"
menu.main.start,"开始游戏","Start Game"
menu.main.continue,"继续游戏","Continue"
menu.main.settings,"设置","Settings"
menu.main.quit,"退出","Quit"
starter_deck.title,"选择开局卡牌仓库","Choose a Starter Card Repository"
starter_deck.subtitle,"三选一：每组包含 1 张罕见牌与 2 张普通牌","Pick one: each set has 1 uncommon card and 2 common cards"
starter_deck.swift_blade.name,"流云快剑","Flowing Blade"
starter_deck.swift_blade.desc,"低费连续攻击，配合力量快速出伤。","Low-cost attacks backed by Strength for fast damage."
starter_deck.charge_break.name,"聚气断岳","Mountain Break"
starter_deck.charge_break.desc,"先积累充能，再用重击收束。","Build Charge, then cash it out."
starter_deck.guard_counter.name,"云体守势","Cloud Guard"
starter_deck.guard_counter.desc,"用护盾稳住节奏，再逐步反击。","Stabilize with Shield, then counterattack."
menu.settings.title,"设置","Settings"
menu.settings.language,"语言","Language"
menu.settings.music_volume,"音乐音量","Music Volume"
menu.settings.sfx_volume,"音效音量","SFX Volume"
menu.settings.fullscreen,"全屏","Fullscreen"
menu.settings.resolution,"分辨率","Resolution"
menu.settings.back,"返回","Back"
battle.button.start_battle,"开始战斗","Start Battle"
battle.button.adjust_chain,"调整链条","Adjust Chain"
battle.button.surrender,"投降","Surrender"
battle.button.pause,"暂停","Pause"
battle.button.resume,"继续","Resume"
battle.button.speed_1x,"1x","1x"
battle.button.speed_2x,"2x","2x"
battle.button.speed_4x,"4x","4x"
battle.label.timeline,"时间轴","Timeline"
battle.label.hp,"生命值","HP"
battle.label.chain,"链条","Chain"
battle.label.cycle,"循环","Cycle"
battle.label.info,"战斗信息","Battle Info"
battle.log.summary,"伤害 %d  治疗 %d","Damage %d  Heal %d"
battle.log.damage,"[%d] %s 对 %s 使用 %s，造成 %d 伤害","[%d] %s hit %s with %s, dealt %d damage"
battle.log.heal,"[%d] %s 通过 %s 恢复 %d 生命","[%d] %s restored HP with %s: %d"
battle.log.unknown,"未知","Unknown"
battle.log.source.default,"效果","Effect"
build.title,"构筑","Build"
build.button.simulate,"模拟战斗","Simulate Battle"
build.button.confirm,"确认","Confirm"
build.label.total_duration,"总时长","Total Duration"
build.label.deck,"卡牌仓库","Card Repository"
build.label.gems,"宝石","Gems"
build.slot.empty,"空槽","Empty"
build.gem.empty,"◇ 空","◇ Empty"
build.gem.no_target,"选中底座：（无）","Select a base: (none)"
build.gem.target,"选中底座：%s","Select base: %s"
build.gem.clear,"移除宝石","Remove gem"
build.synergy.hint,"协同：{synergy_name}","Synergy: {synergy_name}"
build.tip.consumable_limit,"每个周天最多携带 2 张消耗词条牌","Each cycle can carry at most 2 Consumable cards"
map.node.battle,"战斗","Battle"
map.node.elite,"精英","Elite"
map.node.shop,"商店","Shop"
map.node.event,"事件","Event"
map.node.campfire,"篝火","Campfire"
map.node.boss,"天劫","Tribulation"
map.node.chest,"宝箱","Chest"
map.node.mystery,"神秘","Mystery"
map.title,"天劫之路","Path of Tribulation"
chest.title,"宝箱","Chest"
chest.reward,"获得：%s","Obtained: %s"
chest.reward.unknown,"未知奖励","Unknown reward"
campfire.title,"静修之地","Meditation Grounds"
campfire.option.rest,"休息（恢复 30% 生命）","Rest (Restore 30% HP)"
campfire.option.forge,"修炼（强化一张卡牌）","Forge (Upgrade a card)"
campfire.option.skip,"继续","Continue"
campfire.forge.title,"选一张卡升级","Choose a card to upgrade"
campfire.forge.no_upgradable,"卡牌仓库中没有可升级的卡","No upgradable cards in the card repository"
campfire.forge.upgrade_to,"%s → %s","%s → %s"
ui.button.confirm,"确认","Confirm"
ui.button.cancel,"取消","Cancel"
ui.button.back,"返回","Back"
ui.label.gold,"金币","Gold"
ui.label.act,"第 {act} 层","Act {act}"
ui.surrender,"投降","Surrender"
status.weakness.name,"道伤","Dao Wound"
status.weakness.desc,"受到伤害 +50%","Take 50% more damage"
status.vulnerable.name,"迟滞","Slow"
status.vulnerable.desc,"卡牌 cost +1","Card cost +1"
status.burn.name,"业火","Karmic Fire"
status.burn.desc,"每 tick 受到 {damage} 点伤害","Take {damage} damage per tick"
status.freeze.name,"冰魄封印","Frost Seal"
status.freeze.desc,"链条暂停 {duration} tick","Chain halted for {duration} ticks"
status.mark.name,"印记","Mark"
status.mark.desc,"受到下一次伤害额外 +{amount}","Next hit deals +{amount} more damage"
status.charge.name,"充能","Charge"
status.charge.desc,"当前充能：{stacks} 层","Current Charge: {stacks} stacks"
status.strength.name,"力量","Strength"
status.strength.desc,"攻击牌伤害 +{stacks}","Attack card damage +{stacks}"
status.interrupt_immune.name,"打断免疫","Interrupt Immunity"
status.interrupt_immune.desc,"免疫打断效果 {duration} tick","Immune to interrupts for {duration} ticks"
error.save_corrupted,"存档损坏，已加载备份。","Save file corrupted, loaded from backup."
error.no_backup,"所有备份均已损坏，无法恢复存档。","All backups corrupted. Unable to restore save."
player.name,"剑修","Swordsman"
card.zhan.name,"斩","Slash"
card.zhan.desc,"造成 5 点伤害。","Deal 5 damage."
card.default_strike.name,"打击","Strike"
card.default_strike.desc,"造成 2 点伤害。","Deal 2 damage."
card.jian_qi.name,"剑气","Sword Qi"
card.jian_qi.desc,"造成 12 点伤害。","Deal 12 damage."
card.xu_shi.name,"蓄势","Buildup"
card.xu_shi.desc,"获得 2 层充能。","Gain 2 Charge."
card.qiang_pi.name,"强劈","Power Strike"
card.qiang_pi.desc,"消耗所有充能，造成 10+充能×2 点伤害。","Consume all Charge. Deal 10 + Charge×2 damage."
card.yu_jian_dun.name,"御剑盾","Sword Guard"
card.yu_jian_dun.desc,"获得 6 点护盾。","Gain 6 Shield."
